,type,conv1_out_channels,kernel_size,lstm_hidden_size,fc1_out_features,learning_rate,optimizer,criterion,F1,Accuracy,Recall
0,clstm,32,3,32,16,0.001,Adam,BCELoss,0.5750644329896907,0.9050601022097459,0.540090771558245
1,clstm,32,3,32,16,0.001,SGD,BCELoss,0.0,0.8810552076585331,0.0
2,clstm,32,3,32,16,0.01,Adam,BCELoss,0.0,0.8810552076585331,0.0
3,clstm,32,3,32,16,0.01,SGD,BCELoss,0.0,0.8810552076585331,0.0
4,clstm,32,3,32,32,0.001,Adam,BCELoss,0.6399999999999999,0.924206434895271,0.5664145234493192
5,clstm,32,3,32,32,0.001,SGD,BCELoss,0.0,0.8810552076585331,0.0
6,clstm,32,3,32,32,0.01,Adam,BCELoss,0.0,0.8810552076585331,0.0
7,clstm,32,3,32,32,0.01,SGD,BCELoss,0.0,0.8810552076585331,0.0
8,clstm,32,3,64,16,0.001,Adam,BCELoss,0.6109189351782223,0.9068955589145613,0.6145234493192133
9,clstm,32,3,64,16,0.001,SGD,BCELoss,0.0,0.8810552076585331,0.0
10,clstm,32,3,64,16,0.01,Adam,BCELoss,0.0,0.8810552076585331,0.0
11,clstm,32,3,64,16,0.01,SGD,BCELoss,0.0,0.8810552076585331,0.0
12,clstm,32,3,64,32,0.001,Adam,BCELoss,0.5927486083947646,0.9025768372561722,0.5960665658093798
13,clstm,32,3,64,32,0.001,SGD,BCELoss,0.0,0.8810552076585331,0.0
14,clstm,32,3,64,32,0.01,Adam,BCELoss,0.0,0.8810552076585331,0.0
15,clstm,32,3,64,32,0.01,SGD,BCELoss,0.0,0.8810552076585331,0.0
16,clstm,32,5,32,16,0.001,Adam,BCELoss,0.5909886960675051,0.9075433671633196,0.5615733736762482
17,clstm,32,5,32,16,0.001,SGD,BCELoss,0.0,0.8810552076585331,0.0
18,clstm,32,5,32,16,0.01,Adam,BCELoss,0.0,0.8810552076585331,0.0
19,clstm,32,5,32,16,0.01,SGD,BCELoss,0.0,0.8810552076585331,0.0
20,clstm,32,5,32,32,0.001,Adam,BCELoss,0.5763546798029557,0.9009573166342763,0.5664145234493192
21,clstm,32,5,32,32,0.001,SGD,BCELoss,0.0,0.8810552076585331,0.0
22,clstm,32,5,32,32,0.01,Adam,BCELoss,0.0,0.8810552076585331,0.0
23,clstm,32,5,32,32,0.01,SGD,BCELoss,0.0,0.8810552076585331,0.0
24,clstm,32,5,64,16,0.001,Adam,BCELoss,0.5405666452028332,0.8972864032246455,0.508018154311649
25,clstm,32,5,64,16,0.001,SGD,BCELoss,0.0,0.8810552076585331,0.0
26,clstm,32,5,64,16,0.01,Adam,BCELoss,0.6463536463536462,0.9235586266465127,0.5872919818456883
27,clstm,32,5,64,16,0.01,SGD,BCELoss,0.0,0.8810552076585331,0.0
28,clstm,32,5,64,32,0.001,Adam,BCELoss,0.5576501534414731,0.8910602461671345,0.5773071104387292
29,clstm,32,5,64,32,0.001,SGD,BCELoss,0.0,0.8810552076585331,0.0
30,clstm,32,5,64,32,0.01,Adam,BCELoss,0.6356354843584706,0.913229684013532,0.6363086232980333
31,clstm,32,5,64,32,0.01,SGD,BCELoss,0.0,0.8810552076585331,0.0
32,clstm,64,3,32,16,0.001,Adam,BCELoss,0.6323575700346239,0.9159288850500252,0.6078668683812406
33,clstm,64,3,32,16,0.001,SGD,BCELoss,0.0,0.8810552076585331,0.0
34,clstm,64,3,32,16,0.01,Adam,BCELoss,0.44386536373507063,0.9078312819405456,0.3092284417549168
35,clstm,64,3,32,16,0.01,SGD,BCELoss,0.1691176470588235,0.8861297056071403,0.09742813918305597
36,clstm,64,3,32,32,0.001,Adam,BCELoss,0.620817843866171,0.911898078168862,0.6063540090771559
37,clstm,64,3,32,32,0.001,SGD,BCELoss,0.0,0.8810552076585331,0.0
38,clstm,64,3,32,32,0.01,Adam,BCELoss,0.0,0.8810552076585331,0.0
39,clstm,64,3,32,32,0.01,SGD,BCELoss,0.20819546958513616,0.8880371410062622,0.12375189107413011
40,clstm,64,3,64,16,0.001,Adam,BCELoss,0.5396772024209818,0.9014611674944216,0.4856278366111952
41,clstm,64,3,64,16,0.001,SGD,BCELoss,0.0,0.8810552076585331,0.0
42,clstm,64,3,64,16,0.01,Adam,BCELoss,0.0,0.8810552076585331,0.0
43,clstm,64,3,64,16,0.01,SGD,BCELoss,0.16662286465177398,0.8858777801770676,0.09591527987897125
44,clstm,64,3,64,32,0.001,Adam,BCELoss,0.5834198427999406,0.8989059238465414,0.5951588502269289
45,clstm,64,3,64,32,0.001,SGD,BCELoss,0.0,0.8810552076585331,0.0
46,clstm,64,3,64,32,0.01,Adam,BCELoss,0.47954208183167274,0.9116461527387894,0.3422087745839637
47,clstm,64,3,64,32,0.01,SGD,BCELoss,0.06044600938967135,0.884762110415317,0.031164901664145234
48,clstm,64,5,32,16,0.001,Adam,BCELoss,0.6094155844155843,0.9134096307492983,0.5679273827534039
49,clstm,64,5,32,16,0.001,SGD,BCELoss,0.0,0.8810552076585331,0.0
50,clstm,64,5,32,16,0.01,Adam,BCELoss,0.0,0.8810552076585331,0.0
51,clstm,64,5,32,16,0.01,SGD,BCELoss,0.1719979024646041,0.8863456416900597,0.09924357034795764
52,clstm,64,5,32,32,0.001,Adam,BCELoss,0.6287726358148893,0.9203195854027207,0.56732223903177
53,clstm,64,5,32,32,0.001,SGD,BCELoss,0.0,0.8810552076585331,0.0
54,clstm,64,5,32,32,0.01,Adam,BCELoss,0.0,0.8810552076585331,0.0
55,clstm,64,5,32,32,0.01,SGD,BCELoss,0.20867346938775513,0.8883610451306413,0.12375189107413011
56,clstm,64,5,64,16,0.001,Adam,BCELoss,0.6485657309403282,0.9175484056719211,0.6396369137670197
57,clstm,64,5,64,16,0.001,SGD,BCELoss,0.0,0.8810552076585331,0.0
58,clstm,64,5,64,16,0.01,Adam,BCELoss,0.0,0.8810552076585331,0.0
59,clstm,64,5,64,16,0.01,SGD,BCELoss,0.06838106370543542,0.8852659612754624,0.03540090771558245
60,clstm,64,5,64,32,0.001,Adam,BCELoss,0.5875415784699123,0.901821060965954,0.5878971255673222
61,clstm,64,5,64,32,0.001,SGD,BCELoss,0.0,0.8810552076585331,0.0
62,clstm,64,5,64,32,0.01,Adam,BCELoss,0.0,0.8810552076585331,0.0
63,clstm,64,5,64,32,0.01,SGD,BCELoss,0.16139240506329114,0.8855538760526884,0.09258698940998487
